epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1353.45,0.66901,0.51084,1.05534,0.96616,0.81208,0.85716,0.83488,0.49472,1.59846,0.81844,0.0007328,0.0007328,0.0007328
66,1374.04,0.66552,0.51054,1.04942,0.99876,0.75839,0.85007,0.83498,0.45749,2.20082,0.79688,0.000713,0.000713,0.000713
67,1394.83,0.66915,0.51468,1.04882,0.96598,0.81208,0.86095,0.83562,0.45284,1.60723,0.79518,0.0006932,0.0006932,0.0006932
68,1415.63,0.6676,0.51926,1.04901,0.96575,0.81208,0.86451,0.84448,0.41999,1.7625,0.77278,0.0006734,0.0006734,0.0006734
69,1436.32,0.65819,0.49054,1.04293,0.96544,0.81208,0.86078,0.84621,0.40294,1.85916,0.77156,0.0006536,0.0006536,0.0006536
70,1457.08,0.65472,0.50452,1.04125,0.96506,0.81208,0.85493,0.84217,0.44345,1.7566,0.79028,0.0006338,0.0006338,0.0006338
71,1477.88,0.6463,0.49114,1.03992,0.99868,0.75839,0.85261,0.83737,0.4221,2.14596,0.77218,0.000614,0.000614,0.000614
72,1498.66,0.64268,0.49801,1.03278,0.96602,0.81208,0.85777,0.84284,0.40885,1.77305,0.76543,0.0005942,0.0005942,0.0005942
73,1519.36,0.66151,0.51375,1.04566,0.96142,0.81208,0.86326,0.84912,0.42978,1.67132,0.80508,0.0005744,0.0005744,0.0005744
74,1540.18,0.64741,0.49953,1.03762,0.96445,0.81208,0.86074,0.84642,0.44024,1.98977,0.7769,0.0005546,0.0005546,0.0005546
75,1560.91,0.64067,0.4981,1.03593,0.97571,0.80863,0.85873,0.84032,0.47948,1.63589,0.81993,0.0005348,0.0005348,0.0005348
76,1581.58,0.64984,0.50529,1.04274,0.96613,0.81208,0.86096,0.83931,0.4049,1.73961,0.81929,0.000515,0.000515,0.000515
77,1602.37,0.64208,0.49698,1.03207,0.96458,0.81208,0.86098,0.83944,0.431,1.79713,0.79698,0.0004952,0.0004952,0.0004952
