epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
50,143.934,0.31561,0.24024,0.92545,0.0165,0.88928,0.92222,0.91407,0.74691,0.97702,0.63661,1.45964,0.11903,0.000858338,0.000858338,0.000858338
51,146.739,0.32435,0.24283,0.92699,0.01678,0.88189,0.93966,0.92678,0.77084,0.90946,0.64506,1.3791,0.10768,0.000841835,0.000841835,0.000841835
52,149.597,0.32448,0.24516,0.92604,0.01617,0.87804,0.94352,0.92772,0.76351,0.92237,0.6309,1.42187,0.11188,0.000825332,0.000825332,0.000825332
53,152.394,0.30827,0.23494,0.9179,0.01572,0.88075,0.93541,0.91898,0.7616,0.95011,0.61831,1.45025,0.12316,0.000808828,0.000808828,0.000808828
54,155.211,0.31447,0.23794,0.92423,0.01668,0.87852,0.94814,0.93715,0.78017,0.89969,0.6133,1.40053,0.10982,0.000792325,0.000792325,0.000792325
55,158.009,0.30507,0.23173,0.91462,0.0159,0.88527,0.942,0.93008,0.76125,0.92587,0.63268,1.41931,0.10494,0.000775822,0.000775822,0.000775822
56,160.916,0.30806,0.23279,0.91634,0.01553,0.87627,0.95901,0.93177,0.76386,0.94423,0.60658,1.42839,0.11314,0.000759318,0.000759318,0.000759318
57,163.751,0.31847,0.24046,0.92525,0.01561,0.89512,0.93585,0.93211,0.76892,0.9542,0.61533,1.43107,0.11118,0.000742815,0.000742815,0.000742815
58,166.558,0.31202,0.23545,0.9198,0.01535,0.88421,0.94811,0.92384,0.76179,0.90101,0.61253,1.37891,0.10758,0.000726312,0.000726312,0.000726312
59,169.491,0.30947,0.23504,0.92064,0.0155,0.87379,0.95694,0.94391,0.7816,0.90019,0.62412,1.38696,0.11494,0.000709809,0.000709809,0.000709809
60,172.362,0.31348,0.23583,0.92183,0.01569,0.885,0.93286,0.92215,0.76202,0.91019,0.62521,1.41093,0.11488,0.000693305,0.000693305,0.000693305
61,175.194,0.31664,0.23382,0.92333,0.01739,0.87448,0.95518,0.9364,0.76548,0.91219,0.64061,1.41288,0.10706,0.000676802,0.000676802,0.000676802
62,177.989,0.30009,0.22725,0.91531,0.01504,0.88155,0.93673,0.92754,0.75849,0.94769,0.60971,1.44404,0.11093,0.000660299,0.000660299,0.000660299
63,180.861,0.3006,0.22823,0.91357,0.01474,0.87302,0.95782,0.92061,0.74792,0.9746,0.58968,1.46653,0.12229,0.000643795,0.000643795,0.000643795
64,183.7,0.30397,0.22983,0.91271,0.01525,0.86978,0.95466,0.92712,0.76694,0.95492,0.60437,1.44459,0.11867,0.000627292,0.000627292,0.000627292
65,186.532,0.286,0.22203,0.89862,0.01361,0.8712,0.95997,0.92849,0.75947,0.94257,0.60492,1.42109,0.11939,0.000610789,0.000610789,0.000610789
66,189.372,0.30698,0.23082,0.91762,0.01548,0.88075,0.95269,0.92802,0.76296,0.95217,0.61696,1.43941,0.12281,0.000594286,0.000594286,0.000594286
67,192.192,0.30866,0.2311,0.91659,0.01598,0.87739,0.95738,0.92972,0.76382,0.93351,0.60734,1.41121,0.12152,0.000577782,0.000577782,0.000577782
68,195.011,0.2967,0.22404,0.91293,0.01462,0.8743,0.95123,0.92811,0.75752,0.97397,0.60003,1.45994,0.12762,0.000561279,0.000561279,0.000561279
69,197.823,0.30359,0.22749,0.91796,0.01557,0.88691,0.9275,0.92149,0.75222,0.96978,0.61059,1.46079,0.12757,0.000544776,0.000544776,0.000544776
70,200.665,0.29436,0.22468,0.90843,0.01411,0.88461,0.93225,0.92548,0.75151,0.94971,0.6171,1.45343,0.1209,0.000528272,0.000528272,0.000528272
71,203.446,0.29338,0.22439,0.90508,0.01426,0.88362,0.94427,0.93793,0.76522,0.92451,0.62108,1.41816,0.12272,0.000511769,0.000511769,0.000511769
72,206.289,0.2883,0.22235,0.90711,0.01407,0.87563,0.94025,0.93277,0.76573,0.95985,0.62631,1.43682,0.11557,0.000495266,0.000495266,0.000495266
73,209.176,0.28692,0.2186,0.90883,0.01426,0.86919,0.95485,0.93155,0.77287,0.92555,0.60813,1.41106,0.11504,0.000478762,0.000478762,0.000478762
74,212.009,0.29791,0.22284,0.91183,0.01552,0.89261,0.91521,0.93599,0.76975,0.95563,0.60414,1.44785,0.12117,0.000462259,0.000462259,0.000462259
75,214.826,0.29734,0.22197,0.90584,0.0165,0.88951,0.92663,0.92822,0.75771,0.98159,0.60186,1.49678,0.12938,0.000445756,0.000445756,0.000445756
76,217.7,0.29273,0.22439,0.90301,0.01521,0.88799,0.93359,0.92255,0.75275,0.98213,0.60884,1.47344,0.12422,0.000429253,0.000429253,0.000429253
77,220.542,0.29252,0.2223,0.90044,0.01472,0.89877,0.91344,0.93135,0.76544,0.9789,0.60271,1.48261,0.13151,0.000412749,0.000412749,0.000412749
78,223.365,0.28875,0.22002,0.90818,0.01522,0.90031,0.91564,0.9344,0.76488,0.94025,0.61852,1.43872,0.11969,0.000396246,0.000396246,0.000396246
79,226.191,0.28266,0.21645,0.90135,0.01351,0.89606,0.91784,0.93167,0.77264,0.93502,0.62005,1.4356,0.12024,0.000379743,0.000379743,0.000379743
80,229.058,0.29279,0.22109,0.91061,0.01441,0.88561,0.93366,0.93147,0.76465,0.93153,0.60875,1.43456,0.11584,0.000363239,0.000363239,0.000363239
81,231.886,0.27763,0.214,0.898,0.01408,0.87612,0.94815,0.93262,0.76498,0.95652,0.61155,1.46776,0.12424,0.000346736,0.000346736,0.000346736
82,234.735,0.28447,0.21565,0.90406,0.01422,0.87875,0.94798,0.91974,0.74873,0.96153,0.61616,1.48612,0.1258,0.000330233,0.000330233,0.000330233
83,237.611,0.27723,0.21274,0.89514,0.01417,0.8831,0.93366,0.91751,0.74866,0.97851,0.62021,1.49712,0.13114,0.000313729,0.000313729,0.000313729
84,240.48,0.28526,0.21592,0.89922,0.01443,0.88603,0.93961,0.92901,0.75923,0.96606,0.61412,1.50671,0.13407,0.000297226,0.000297226,0.000297226
85,243.321,0.285,0.21672,0.89873,0.01476,0.89139,0.92852,0.92997,0.75868,0.95551,0.61724,1.48694,0.12841,0.000280723,0.000280723,0.000280723
86,246.172,0.27002,0.20989,0.89151,0.01307,0.88209,0.94552,0.93186,0.75887,0.95301,0.62467,1.46375,0.12412,0.00026422,0.00026422,0.00026422
87,249.06,0.27568,0.21226,0.89567,0.0133,0.8951,0.91313,0.92783,0.75775,0.95424,0.62161,1.47454,0.1236,0.000247716,0.000247716,0.000247716
88,251.838,0.28276,0.21295,0.89474,0.01402,0.88701,0.92531,0.92481,0.75394,0.95512,0.62985,1.49065,0.12289,0.000231213,0.000231213,0.000231213
89,254.69,0.27656,0.21319,0.89579,0.01401,0.87163,0.95562,0.92788,0.75589,0.94287,0.62658,1.46725,0.12082,0.00021471,0.00021471,0.00021471
90,257.534,0.27586,0.21115,0.8941,0.01398,0.87309,0.9587,0.93288,0.75718,0.95302,0.612,1.48597,0.12375,0.000198206,0.000198206,0.000198206
91,261.303,0.22818,0.18381,0.87583,0.0117,0.88974,0.92945,0.93153,0.75892,0.96629,0.61524,1.50276,0.12986,0.000181703,0.000181703,0.000181703
92,263.919,0.22536,0.18032,0.879,0.01061,0.87329,0.94851,0.9366,0.7614,0.97134,0.63776,1.50527,0.12864,0.0001652,0.0001652,0.0001652
93,266.461,0.22048,0.17746,0.87612,0.01085,0.89279,0.91696,0.93619,0.76271,0.97079,0.60589,1.49981,0.12727,0.000148696,0.000148696,0.000148696
94,268.996,0.21855,0.17568,0.87458,0.01075,0.88427,0.92794,0.93578,0.7615,0.97463,0.60935,1.4984,0.12775,0.000132193,0.000132193,0.000132193
95,271.529,0.21885,0.17631,0.87729,0.01133,0.88553,0.92882,0.93556,0.76231,0.96863,0.60643,1.47925,0.12729,0.00011569,0.00011569,0.00011569
96,274.092,0.21762,0.17603,0.87337,0.01089,0.89156,0.92091,0.93436,0.76474,0.9564,0.6093,1.47421,0.12233,9.91865e-05,9.91865e-05,9.91865e-05
97,276.772,0.21455,0.17477,0.87096,0.01023,0.88749,0.92619,0.93332,0.76193,0.95035,0.61197,1.46829,0.12132,8.26832e-05,8.26832e-05,8.26832e-05
98,279.371,0.21426,0.17376,0.87276,0.01039,0.87645,0.9449,0.93263,0.75985,0.96133,0.61407,1.48334,0.12461,6.61799e-05,6.61799e-05,6.61799e-05
99,281.996,0.21619,0.1737,0.87351,0.01066,0.88341,0.93541,0.9325,0.75965,0.963,0.61685,1.48664,0.12473,4.96766e-05,4.96766e-05,4.96766e-05
100,284.615,0.21323,0.17222,0.86916,0.01044,0.87974,0.93893,0.93249,0.76027,0.96547,0.61116,1.48893,0.12491,3.31733e-05,3.31733e-05,3.31733e-05
