epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,320.449,0.50272,0.95606,0.37926,0.87021,0,0.96334,0.97627,0.99116,0.91007,0.96167,0.97458,0.98988,0.84503,0.42248,0.82442,0.27689,0.81376,0,0.0011288,0.0011288,0.0011288
46,327.457,0.49623,0.94307,0.36878,0.87595,0,0.96578,0.97966,0.98996,0.9072,0.96411,0.97797,0.98934,0.84484,0.43347,0.84451,0.27997,0.81938,0,0.001109,0.001109,0.001109
47,334.445,0.50204,0.88432,0.37091,0.87487,0,0.96339,0.9813,0.99219,0.90909,0.96173,0.97961,0.99058,0.8577,0.42225,0.79608,0.27842,0.82187,0,0.0010892,0.0010892,0.0010892
48,341.493,0.494,0.88424,0.36799,0.86264,0,0.96775,0.96633,0.98672,0.90442,0.96267,0.96152,0.98498,0.84044,0.42637,0.83666,0.30236,0.81985,0,0.0010694,0.0010694,0.0010694
49,348.507,0.48795,0.91689,0.36608,0.86389,0,0.96846,0.9678,0.98808,0.9023,0.96499,0.96441,0.98625,0.82918,0.42491,0.85103,0.29195,0.82058,0,0.0010496,0.0010496,0.0010496
50,355.535,0.48369,0.9066,0.36169,0.86406,0,0.97791,0.97537,0.98961,0.91451,0.97621,0.97368,0.98906,0.85257,0.41291,0.80494,0.26875,0.81852,0,0.0010298,0.0010298,0.0010298
51,362.576,0.48076,0.88885,0.36429,0.86639,0,0.96854,0.97966,0.99227,0.91449,0.96351,0.97458,0.99002,0.85099,0.41601,0.81936,0.26291,0.81671,0,0.00101,0.00101,0.00101
52,369.595,0.48731,0.89104,0.35434,0.86266,0,0.96849,0.98975,0.99126,0.91344,0.96517,0.98636,0.99042,0.8573,0.41139,0.78776,0.26378,0.81581,0,0.0009902,0.0009902,0.0009902
53,376.631,0.48487,0.89021,0.35948,0.8646,0,0.96989,0.98277,0.99156,0.91356,0.96655,0.97938,0.99086,0.85415,0.40952,0.78675,0.2583,0.81288,0,0.0009704,0.0009704,0.0009704
54,383.658,0.47938,0.90337,0.3482,0.86353,0,0.97614,0.97089,0.99089,0.91507,0.96933,0.96411,0.98924,0.85701,0.41067,0.81029,0.26466,0.81483,0,0.0009506,0.0009506,0.0009506
